Hospital Name,State,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Readmission national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Patient experience national comparison
FAYETTE MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4.0,Same as the national average,Same as the national average,Above the national average,Above the national average
RIVERVIEW REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
GEORGIANA MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Same as the national average
MEDICAL CENTER ENTERPRISE,AL,Acute Care Hospitals,Proprietary,Yes,3.0,Above the national average,Above the national average,Same as the national average,Same as the national average
GREENE COUNTY HOSPITAL,AL,Acute Care Hospitals,Government - Local,No,3.0,Same as the national average,Same as the national average,Above the national average,Not Available
LAKE MARTIN COMMUNITY HOSPITAL,AL,Acute Care Hospitals,Proprietary,Yes,3.0,Same as the national average,Below the national average,Above the national average,Same as the national average
FLOWERS HOSPITAL,AL,Acute Care Hospitals,Proprietary,Yes,4.0,Above the national average,Same as the national average,Above the national average,Above the national average
ST VINCENT'S BIRMINGHAM,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Above the national average,Below the national average,Below the national average,Above the national average
BIBB MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,Not Available,Same as the national average,Same as the national average,Not Available
LAWRENCE MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4.0,Same as the national average,Same as the national average,Above the national average,Not Available
HIGHLANDS MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,Same as the national average,Below the national average,Same as the national average,Same as the national average
WIREGRASS MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Below the national average,Above the national average,Same as the national average
RUSSELL HOSPITAL,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Above the national average
MEDICAL CENTER BARBOUR,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Same as the national average
CLAY COUNTY HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,Same as the national average,Below the national average,Same as the national average,Same as the national average
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Government - Local,Yes,2.0,Above the national average,Same as the national average,Same as the national average,Same as the national average
ATHENS LIMESTONE HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,No,2.0,Below the national average,Same as the national average,Above the national average,Same as the national average
SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Above the national average
DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2.0,Above the national average,Below the national average,Same as the national average,Below the national average
NORTHWEST MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,Yes,4.0,Same as the national average,Same as the national average,Above the national average,Above the national average
UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,AL,Acute Care Hospitals,Government - State,Yes,3.0,Below the national average,Same as the national average,Below the national average,Above the national average
WALKER BAPTIST MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Below the national average
PROVIDENCE HOSPITAL,AL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
GROVE HILL MEMORIAL HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,Same as the national average,Below the national average,Same as the national average,Same as the national average
D C H REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2.0,Below the national average,Same as the national average,Below the national average,Same as the national average
HALE COUNTY HOSPITAL,AL,Acute Care Hospitals,Government - Local,Yes,,Not Available,Below the national average,Same as the national average,Not Available
ELMORE COMMUNITY HOSPITAL,AL,Acute Care Hospitals,Government - State,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Same as the national average
D W MCMILLAN MEMORIAL HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2.0,Same as the national average,Same as the national average,Above the national average,Same as the national average
THOMAS HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4.0,Above the national average,Same as the national average,Same as the national average,Above the national average
CITIZENS BAPTIST MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Below the national average
J PAUL JONES HOSPITAL,AL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,,Not Available,Same as the national average,Same as the national average,Not Available
PRINCETON BAPTIST MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,Same as the national average,Same as the national average,Below the national average,Above the national average
GRANDVIEW MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,Yes,2.0,Same as the national average,Same as the national average,Above the national average,Above the national average
PRATTVILLE BAPTIST HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4.0,Above the national average,Same as the national average,Below the national average,Above the national average
PICKENS COUNTY MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,Same as the national average,Below the national average,Same as the national average,Not Available
BULLOCK COUNTY HOSPITAL,AL,Acute Care Hospitals,Proprietary,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Not Available
BRYAN W. WHITFIELD MEMORIAL HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
MOBILE INFIRMARY MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Above the national average
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,Above the national average,Same as the national average,Above the national average,Below the national average
VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,AL,Acute Care Hospitals,Proprietary,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
MONROE COUNTY HOSPITAL,AL,Acute Care Hospitals,Government - Local,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Above the national average
LAKELAND COMMUNITY HOSPITAL,AL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,5.0,Above the national average,Same as the national average,Above the national average,Same as the national average
TROY REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Government - Federal,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Same as the national average
JACKSON MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Not Available
NORTH BALDWIN INFIRMARY,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Same as the national average,Same as the national average
ST VINCENT'S ST CLAIR,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Same as the national average,Above the national average,Above the national average
CRESTWOOD MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
HILL HOSPITAL OF SUMTER COUNTY,AL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,,Not Available,Same as the national average,Same as the national average,Not Available
BROOKWOOD MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
SPRINGHILL MEMORIAL HOSPITAL,AL,Acute Care Hospitals,Proprietary,Yes,2.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
RMC JACKSONVILLE,AL,Acute Care Hospitals,Proprietary,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
EVERGREEN MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Above the national average
BAPTIST MEDICAL CENTER EAST,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,5.0,Above the national average,Same as the national average,Below the national average,Above the national average
L V STABLER MEMORIAL HOSPITAL,AL,Acute Care Hospitals,Proprietary,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Same as the national average
SHOALS HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
RUSSELLVILLE HOSPITAL,AL,Acute Care Hospitals,Proprietary,Yes,3.0,Below the national average,Same as the national average,Above the national average,Same as the national average
COOSA VALLEY MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
JACK HUGHSTON MEMORIAL HOSPITAL,AL,Acute Care Hospitals,Government - State,Yes,4.0,Same as the national average,Same as the national average,Same as the national average,Above the national average
ATMORE COMMUNITY HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4.0,Same as the national average,Same as the national average,Above the national average,Above the national average
NORTH ALABAMA SPECIALITY HOSPITAL,AL,Acute Care Hospitals,Proprietary,No,,Not Available,Not Available,Not Available,Not Available
WASHINGTON COUNTY HOSPITAL,AL,Critical Access Hospitals,Proprietary,Yes,,Not Available,Same as the national average,Above the national average,Not Available
RED BAY HOSPITAL,AL,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Same as the national average,Not Available,Not Available,Not Available
CHOCTAW GENERAL HOSPITAL,AL,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,Not Available,Same as the national average,Not Available
ST VINCENTS BLOUNT,AL,Critical Access Hospitals,Voluntary non-profit - Private,No,3.0,Same as the national average,Same as the national average,Same as the national average,Above the national average
CHILDREN'S HOSPITAL OF ALABAMA,AL,Childrens,Voluntary non-profit - Private,Yes,,Not Available,Not Available,Not Available,Not Available
UNIVERSITY OF S A CHILDREN'S AND WOMEN'S HOS,AL,Childrens,Government - State,Yes,,Not Available,Not Available,Not Available,Not Available
PROVIDENCE ALASKA MEDICAL CENTER,AK,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,Above the national average,Same as the national average,Below the national average,Same as the national average
MAT-SU REGIONAL MEDICAL CENTER,AK,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
BARTLETT REGIONAL HOSPITAL,AK,Acute Care Hospitals,Government - Local,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
FAIRBANKS MEMORIAL HOSPITAL,AK,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Above the national average,Same as the national average,Same as the national average,Above the national average
ALASKA REGIONAL HOSPITAL,AK,Acute Care Hospitals,Proprietary,Yes,3.0,Above the national average,Same as the national average,Same as the national average,Same as the national average
YUKON KUSKOKWIM DELTA REG HOSPITAL,AK,Acute Care Hospitals,Tribal,Yes,3.0,Same as the national average,Not Available,Not Available,Below the national average
ALASKA NATIVE MEDICAL CENTER,AK,Acute Care Hospitals,Government - Federal,Yes,2.0,Same as the national average,Below the national average,Not Available,Below the national average
SITKA COMMUNITY HOSPITAL,AK,Critical Access Hospitals,Government - Local,Yes,,Not Available,Not Available,Not Available,Not Available
PROVIDENCE KODIAK ISLAND MEDICAL CTR,AK,Critical Access Hospitals,Voluntary non-profit - Church,Yes,,Same as the national average,Not Available,Not Available,Not Available
NORTON SOUND REGIONAL HOSPITAL,AK,Critical Access Hospitals,Tribal,Yes,,Not Available,Not Available,Not Available,Not Available
KANAKANAK HOSPITAL,AK,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,Not Available,Not Available,Not Available
MANIILAQ HEALTH CENTER,AK,Critical Access Hospitals,Tribal,Yes,,Not Available,Not Available,Not Available,Not Available
PEACEHEALTH KETCHIKAN MEDICAL CENTER,AK,Critical Access Hospitals,Voluntary non-profit - Church,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
MT EDGECUMBE HOSPITAL,AK,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,Not Available,Not Available,Not Available
ABRAZO MARYVALE CAMPUS,AZ,Acute Care Hospitals,Proprietary,Yes,2.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,AZ,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Same as the national average,Same as the national average,Below the national average,Same as the national average
TUCSON MEDICAL CENTER,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Above the national average,Same as the national average,Below the national average,Below the national average
VERDE VALLEY MEDICAL CENTER,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Above the national average,Same as the national average,Same as the national average,Above the national average
ST. MARY'S HOSPITAL,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Above the national average,Above the national average,Below the national average,Below the national average
ST JOSEPH'S HOSPITAL,AZ,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Above the national average,Same as the national average,Below the national average,Below the national average
YAVAPAI REGIONAL MEDICAL CENTER,AZ,Acute Care Hospitals,Government - Local,Yes,2.0,Same as the national average,Same as the national average,Same as the national average,Above the national average
YUMA REGIONAL MEDICAL CENTER,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
JOHN C. LINCOLN MEDICAL CENTER,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Above the national average,Same as the national average,Same as the national average,Below the national average
BANNER CASA GRANDE MEDICAL CENTER,AZ,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
MARICOPA MEDICAL CENTER,AZ,Acute Care Hospitals,Government - Local,Yes,2.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
FLAGSTAFF MEDICAL CENTER,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Above the national average,Same as the national average,Below the national average,Above the national average
ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,AZ,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,Above the national average,Same as the national average,Below the national average,Same as the national average
ABRAZO CENTRAL CAMPUS,AZ,Acute Care Hospitals,Proprietary,Yes,2.0,Below the national average,Below the national average,Same as the national average,Below the national average
BANNER PAYSON MEDICAL CENTER,AZ,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
CHANDLER REGIONAL MEDICAL CENTER,AZ,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4.0,Above the national average,Same as the national average,Below the national average,Below the national average
ST LUKE'S MEDICAL CENTER,AZ,Acute Care Hospitals,Proprietary,Yes,3.0,Above the national average,Same as the national average,Below the national average,Below the national average
SCOTTSDALE OSBORN MEDICAL CENTER,AZ,Acute Care Hospitals,Proprietary,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Below the national average
CANYON VISTA MEDICAL CENTER,AZ,Acute Care Hospitals,Voluntary non-profit - Other,Yes,1.0,Same as the national average,Same as the national average,Below the national average,Below the national average
KINGMAN REGIONAL MEDICAL CENTER,AZ,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2.0,Below the national average,Same as the national average,Same as the national average,Same as the national average
BANNER BOSWELL MEDICAL CENTER,AZ,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4.0,Above the national average,Same as the national average,Same as the national average,Same as the national average
SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Above the national average,Below the national average,Same as the national average,Same as the national average
BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,Below the national average,Same as the national average,Below the national average,Below the national average
BANNER DESERT MEDICAL CENTER,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Same as the national average,Same as the national average,Below the national average
MT. GRAHAM REGIONAL MEDICAL CENTER,AZ,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,Same as the national average,Below the national average,Same as the national average,Same as the national average
HAVASU REGIONAL MEDICAL CENTER,AZ,Acute Care Hospitals,Proprietary,Yes,2.0,Below the national average,Same as the national average,Above the national average,Below the national average
FORT DEFIANCE INDIAN HOSPITAL,AZ,Acute Care Hospitals,Government - Federal,Yes,,Same as the national average,Same as the national average,Not Available,Not Available
TUBA CITY REGIONAL HEALTH CARE CORPORATION,AZ,Acute Care Hospitals,Voluntary non-profit - Other,No,3.0,Same as the national average,Same as the national average,Not Available,Below the national average
SELLS HOSPITAL,AZ,Acute Care Hospitals,Tribal,Yes,,Not Available,Not Available,Not Available,Not Available
SAN CARLOS APACHE HEALTHCARE,AZ,Acute Care Hospitals,Government - Federal,No,,Not Available,Not Available,Not Available,Not Available
PHOENIX INDIAN MEDICAL CENTER,AZ,Acute Care Hospitals,Government - Federal,No,,Not Available,Same as the national average,Not Available,Same as the national average
ABRAZO SCOTTSDALE CAMPUS,AZ,Acute Care Hospitals,Proprietary,Yes,2.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
CHINLE COMPREHENSIVE HEALTH CARE FACILITY,AZ,Acute Care Hospitals,Government - Federal,Yes,3.0,Same as the national average,Below the national average,Not Available,Same as the national average
NORTHWEST MEDICAL CENTER,AZ,Acute Care Hospitals,Proprietary,Yes,3.0,Above the national average,Same as the national average,Below the national average,Below the national average
SCOTTSDALE SHEA MEDICAL CENTER,AZ,Acute Care Hospitals,Proprietary,Yes,3.0,Above the national average,Below the national average,Above the national average,Above the national average
BANNER BAYWOOD MEDICAL CENTER,AZ,Acute Care Hospitals,Voluntary non-profit - Private,No,4.0,Above the national average,Same as the national average,Same as the national average,Below the national average
BANNER THUNDERBIRD MEDICAL CENTER,AZ,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,Above the national average,Same as the national average,Below the national average,Same as the national average
HONORHEALTH DEER VALLEY MEDICAL CENTER,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
BANNER DEL E. WEBB MEDICAL CENTER,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Above the national average,Same as the national average,Same as the national average,Below the national average
ABRAZO ARROWHEAD CAMPUS,AZ,Acute Care Hospitals,Proprietary,Yes,3.0,Same as the national average,Below the national average,Same as the national average,Below the national average
WESTERN ARIZONA REGIONAL MEDICAL CENTER,AZ,Acute Care Hospitals,Proprietary,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
MAYO CLINIC HOSPITAL,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5.0,Above the national average,Same as the national average,Same as the national average,Above the national average
BANNER HEART HOSPITAL,AZ,Acute Care Hospitals,Voluntary non-profit - Private,No,5.0,Above the national average,Not Available,Not Available,Above the national average
ARIZONA SPINE AND JOINT HOSPITAL,AZ,Acute Care Hospitals,Proprietary,No,,Not Available,Not Available,Not Available,Above the national average
"CORE INSTITUTE SPECIALTY HOSPITAL, THE",AZ,Acute Care Hospitals,Proprietary,No,,Not Available,Not Available,Not Available,Above the national average
ABRAZO WEST CAMPUS,AZ,Acute Care Hospitals,Proprietary,Yes,2.0,Same as the national average,Below the national average,Same as the national average,Below the national average
BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Same as the national average,Same as the national average,Below the national average,Below the national average
ARIZONA SPECIALTY HOSPITAL,AZ,Acute Care Hospitals,Proprietary,No,,Not Available,Not Available,Not Available,Above the national average
WHITERIVER PHS INDIAN HOSPITAL,AZ,Acute Care Hospitals,Government - Federal,No,,Not Available,Same as the national average,Not Available,Not Available
ORO VALLEY HOSPITAL,AZ,Acute Care Hospitals,Proprietary,Yes,3.0,Same as the national average,Same as the national average,Below the national average,Same as the national average
BANNER ESTRELLA MEDICAL CENTER,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Above the national average,Same as the national average,Below the national average,Same as the national average
VALLEY VIEW MEDICAL CENTER,AZ,Acute Care Hospitals,Proprietary,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
MERCY GILBERT MEDICAL CENTER,AZ,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
GILBERT HOSPITAL,AZ,Acute Care Hospitals,Proprietary,Yes,,Not Available,Same as the national average,Same as the national average,Below the national average
"MOUNTAIN VISTA MEDICAL CENTER, LP",AZ,Acute Care Hospitals,Proprietary,Yes,1.0,Same as the national average,Same as the national average,Below the national average,Below the national average
BANNER GATEWAY MEDICAL CENTER,AZ,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Below the national average,Same as the national average,Same as the national average,Above the national average
SCOTTSDALE THOMPSON PEAK MEDICAL CENTER,AZ,Acute Care Hospitals,Proprietary,Yes,4.0,Above the national average,Same as the national average,Above the national average,Above the national average
BANNER IRONWOOD MEDICAL CENTER,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Same as the national average,Same as the national average,Same as the national average,Above the national average
O.A.S.I.S. HOSPITAL,AZ,Acute Care Hospitals,Voluntary non-profit - Private,No,,Not Available,Not Available,Not Available,Above the national average
"FLORENCE HOSPITAL AT ANTHEM, LLC",AZ,Acute Care Hospitals,Proprietary,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Same as the national average
BANNER GOLDFIELD MEDICAL CENTER,AZ,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Above the national average
DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL,AZ,Acute Care Hospitals,Proprietary,Yes,,Not Available,Same as the national average,Same as the national average,Not Available
GREEN VALLEY HOSPITAL,AZ,Acute Care Hospitals,Proprietary,Yes,,Not Available,Same as the national average,Same as the national average,Not Available
WICKENBURG COMMUNITY HOSPITAL,AZ,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Not Available,Not Available,Same as the national average
BENSON HOSPITAL,AZ,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Same as the national average,Not Available,Not Available,Not Available
"NORTHERN COCHISE COMMUNITY HOSPITAL, INC.",AZ,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Same as the national average,Not Available,Not Available,Not Available
PAGE HOSPITAL,AZ,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,Same as the national average,Above the national average,Above the national average
HOPI HEALTH CARE CENTER,AZ,Critical Access Hospitals,Tribal,No,,Not Available,Not Available,Not Available,Not Available
PARKER INDIAN HEALTH CENTER,AZ,Critical Access Hospitals,Government - Federal,Yes,,Not Available,Not Available,Not Available,Not Available
HUHU KAM MEMORIAL HOSPITAL,AZ,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,Not Available,Not Available,Not Available
SAGE MEMORIAL HOSPITAL,AZ,Critical Access Hospitals,Voluntary non-profit - Private,No,,Not Available,Not Available,Same as the national average,Not Available
LITTLE COLORADO MEDICAL CENTER,AZ,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Same as the national average,Not Available,Not Available,Same as the national average
COPPER QUEEN COMMUNITY HOSPITAL,AZ,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Same as the national average,Not Available,Not Available,Not Available
